brand_group,n_events,n_users,n_products,view_rate,cart_rate,purchase_rate,avg_price,avg_discount
bpw.style,4040,533,237,0.3844,0.3017,0.0988,1.1796,0.0109
runail,16196,2262,1097,0.3951,0.31,0.0792,5.9146,0.0119
irisk,11023,1844,988,0.4042,0.3111,0.0782,5.857,0.0081
unknown,89904,8148,11393,0.4586,0.2778,0.0673,7.2104,0.0132
masura,8712,1013,882,0.3887,0.2856,0.0605,3.3878,0.006
estel,3150,1031,424,0.5863,0.2333,0.0581,7.3333,0.0035
kapous,3142,986,215,0.5961,0.2272,0.0573,3.9611,0.0043
ingarden,5004,721,450,0.4119,0.2794,0.0556,4.9819,0.0262
grattol,10263,1317,307,0.4821,0.2469,0.0503,5.4478,0.0063
pole,2851,282,402,0.3185,0.2585,0.0337,3.9022,0.0139
